GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Project,171,0,12,0,60,0,36,0,30,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Correction,124,0,12,0,41,0,26,0,20,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Objectives,120,0,12,0,39,0,24,0,18,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,DecimalCoordinate,103,0,12,0,32,0,20,0,14,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Texto,93,0,12,0,28,0,18,0,12,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Title,114,0,12,0,37,0,24,0,18,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Section,117,0,12,0,38,0,24,0,18,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.project,Bibliography,150,0,12,0,51,0,30,0,24,0
proyectoEPS-ejb,User.exception,UserException,3,4,0,0,2,2,1,1,1,1
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.service,UserService,135,38,23,5,36,13,13,6,1,4
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.service,RolService,0,41,0,4,0,12,0,6,0,4
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.service,CareerService,0,27,2,2,0,8,2,4,0,4
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.service,UserCareerService,60,0,4,0,19,0,8,0,6,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.configuration,ApplicationConfig,18,0,0,0,2,0,2,0,2,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.configuration,SecurityConstants,3,0,0,0,1,0,1,0,1,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.configuration,Constants,3,0,0,0,1,0,1,0,1,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.configuration,Property,88,0,12,0,30,0,19,0,13,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user,Career,64,29,8,4,18,10,15,3,9,3
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user,UserCareer,91,0,12,0,27,0,19,0,13,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user,User,116,107,8,4,47,35,31,19,25,19
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user,Rol,47,46,8,4,12,16,11,7,5,7
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,DeliverEpsCompletionDocument,123,0,12,0,40,0,24,0,18,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,Process,206,0,12,0,75,0,46,0,40,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,Requeriment,147,0,12,0,50,0,30,0,24,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,DocumentFinalEps,133,0,12,0,44,0,26,0,20,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,ExtraFile,93,0,12,0,28,0,18,0,12,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,Supervision,100,0,12,0,31,0,20,0,14,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,Appointment,91,0,12,0,27,0,19,0,13,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,DocumentInitialEps,105,0,12,0,33,0,23,0,17,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.process,Journal,127,0,12,0,42,0,26,0,20,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.repository,RolRepository,24,77,0,4,6,14,1,6,1,4
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.repository,UserRepository,124,128,11,15,11,30,11,7,0,5
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.repository,CareerRepository,19,16,0,0,6,5,1,3,1,3
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.repository,UserCareerRepository,66,0,0,0,16,0,7,0,7,0
proyectoEPS-ejb,gt.edu.usac.cunoc.ingenieria.eps.user.facade,UserFacade,107,0,0,0,29,0,23,0,23,0
